,0,1,2
0,247,247,247
1,247,247,247
2,247,247,247
3,247,247,247
4,247,247,247
5,247,247,247
6,247,247,247
7,247,247,247
8,247,247,247
9,247,247,247
10,247,247,247
11,247,247,247
12,247,247,247
13,247,247,247
14,247,247,247
15,247,247,247
16,247,247,247
17,247,247,247
18,247,247,247
19,247,247,247
20,247,247,247
21,247,247,247
22,247,247,247
23,247,247,247
24,247,247,247
25,247,247,247
26,247,247,247
27,247,247,247
28,247,247,247
29,247,247,247
30,247,247,247
31,247,247,247
32,246,246,246
33,246,246,246
34,246,246,246
35,246,246,246
36,246,246,246
37,246,246,246
38,246,246,246
39,246,246,246
40,247,247,247
41,247,247,247
42,247,247,247
43,247,247,247
44,247,247,247
45,247,247,247
46,247,247,247
47,247,247,247
48,247,247,247
49,247,247,247
50,247,247,247
51,247,247,247
52,247,247,247
53,247,247,247
54,247,247,247
55,247,247,247
56,247,247,247
57,247,247,247
58,247,247,247
59,247,247,247
60,247,247,247
61,247,247,247
62,247,247,247
63,247,247,247
64,247,247,247
65,247,247,247
66,247,247,247
67,247,247,247
68,247,247,247
69,247,247,247
70,247,247,247
71,247,247,247
72,247,247,247
73,247,247,247
74,247,247,247
75,247,247,247
76,247,247,247
77,247,247,247
78,247,247,247
79,247,247,247
80,247,247,247
81,247,247,247
82,247,247,247
83,247,247,247
84,247,247,247
85,247,247,247
86,247,247,247
87,247,247,247
88,247,247,247
89,247,247,247
90,247,247,247
91,247,247,247
92,247,247,247
93,247,247,247
94,247,247,247
95,247,247,247
96,247,247,247
97,247,247,247
98,247,247,247
99,247,247,247
100,247,247,247
101,247,247,247
102,247,247,247
103,247,247,247
104,246,246,246
105,246,246,246
106,246,246,246
107,246,246,246
108,246,246,246
109,246,246,246
110,246,246,246
111,246,246,246
112,246,246,246
113,246,246,246
114,246,246,246
115,246,246,246
116,246,246,246
117,246,246,246
118,246,246,246
119,246,246,246
120,246,246,246
121,246,246,246
122,246,246,246
123,247,247,247
124,247,247,247
125,247,247,247
126,247,247,247
127,247,247,247
128,247,247,247
129,247,247,247
130,247,247,247
131,247,247,247
132,247,247,247
133,247,247,247
134,247,247,247
135,247,247,247
136,247,247,247
137,247,247,247
138,247,247,247
139,247,247,247
140,247,247,247
141,247,247,247
142,247,247,247
143,247,247,247
144,247,247,247
145,247,247,247
146,247,247,247
147,247,247,247
148,247,247,247
149,247,247,247
150,247,247,247
151,247,247,247
152,247,247,247
153,247,247,247
154,247,247,247
155,247,247,247
156,247,247,247
157,247,247,247
158,247,247,247
159,247,247,247
160,247,247,247
161,247,247,247
162,247,247,247
163,247,247,247
164,247,247,247
165,247,247,247
166,247,247,247
167,247,247,247
168,247,247,247
169,247,247,247
170,247,247,247
171,247,247,247
172,247,247,247
173,247,247,247
174,247,247,247
175,247,247,247
176,247,247,247
177,247,247,247
178,247,247,247
179,247,247,247
180,247,247,247
181,247,247,247
182,247,247,247
183,247,247,247
184,247,247,247
185,247,247,247
186,247,247,247
187,247,247,247
188,247,247,247
189,247,247,247
190,247,247,247
191,247,247,247
192,247,247,247
193,247,247,247
194,247,247,247
195,247,247,247
196,247,247,247
197,247,247,247
198,247,247,247
199,247,247,247
200,247,247,247
201,247,247,247
202,247,247,247
203,247,247,247
204,247,247,247
205,247,247,247
206,247,247,247
207,247,247,247
208,247,247,247
209,247,247,247
210,247,247,247
211,247,247,247
212,247,247,247
213,247,247,247
214,247,247,247
215,247,247,247
216,247,247,247
217,247,247,247
218,247,247,247
